box_id,index
SKU-B,0
SKU-B,1
SKU-B,2
SKU-B,3
SKU-D,0
SKU-D,1
SKU-D,2
SKU-D,3
SKU-D,4
SKU-C,0
SKU-C,1
SKU-C,2
SKU-C,3
SKU-C,4
SKU-C,5
SKU-C,6
SKU-C,7
SKU-C,8
SKU-C,9
SKU-C,10
SKU-C,11
SKU-A,0
SKU-A,1
SKU-A,2
SKU-A,3
SKU-A,4
SKU-A,5
SKU-A,6
SKU-A,7
SKU-E,0
SKU-E,1
SKU-E,2
SKU-E,3
SKU-E,4
SKU-E,5
SKU-E,6
SKU-E,7
SKU-E,8
SKU-E,9
SKU-E,10
SKU-E,11
SKU-E,12
SKU-E,13
SKU-E,14
SKU-E,15
SKU-F,0
SKU-F,1
SKU-F,2
SKU-G,0
SKU-G,1
SKU-G,2
SKU-G,3
SKU-G,4
SKU-G,5
SKU-G,6
SKU-G,7
SKU-G,8
SKU-G,9
SKU-G,10
SKU-G,11
SKU-G,12
SKU-G,13
SKU-G,14
SKU-G,15
SKU-G,16
SKU-G,17
SKU-G,18
SKU-G,19
SKU-G,20
SKU-G,21
SKU-G,22
SKU-G,23
SKU-H,0
SKU-H,1
SKU-I,0
SKU-I,1
SKU-I,2
SKU-I,3
SKU-I,4
SKU-I,5
SKU-J,0
SKU-J,1
SKU-J,2
SKU-J,3
SKU-J,4
SKU-J,5
SKU-J,6
SKU-J,7
SKU-J,8
SKU-J,9
